,dataset_small\000.jpg,dataset_small\001.jpg,dataset_small\002.jpg,dataset_small\003.jpg,dataset_small\004.jpg,dataset_small\005.jpg,dataset_small\006.jpg,dataset_small\008.jpg,dataset_small\011.jpg,dataset_small\013.jpg,dataset_small\014.jpg,dataset_small\015.jpg,dataset_small\016.jpg
dataset_small\000.jpg,2.0000000000000004,1.0115240804861736,1.0193754076171941,1.0057346064703776,1.0166379243578187,1.0136760290662117,1.0160426087444792,1.0054215313196517,1.032095334558818,1.0194430501470748,1.0171348207343696,1.009740618614967,1.009139851195599
dataset_small\001.jpg,1.0115240804861736,2.000000000000001,1.0149031578026932,1.006028425840124,1.0218821773512323,1.0064762497623687,1.0089878190453792,1.0055794449629882,1.0241100450037792,1.0117051595833353,1.0090449149175422,1.0099940022732716,1.0066438834961482
dataset_small\002.jpg,1.0193754076171944,1.014903157802693,1.9999999999999998,1.0074685881341328,1.0253748375658536,1.0102087466538805,1.0222156651976768,1.0038618761986118,1.0328547110158834,1.0206551842999765,1.0181271289145128,1.015775673494834,1.009335494244853
dataset_small\003.jpg,1.0057346064703776,1.0060284258401242,1.0074685881341323,1.9999999999999996,1.0089988938087953,1.006691158777263,1.0102303490245366,1.0076113969484728,1.0094310525777521,1.0052179685517173,1.0091239994842462,1.0117548350251788,1.007626589651747
dataset_small\004.jpg,1.016637924357819,1.0218821773512325,1.0253748375658533,1.0089988938087953,2.0000000000000004,1.00974388730885,1.0254452194874988,1.0041807124583588,1.0424739168813126,1.0143750974630026,1.01863504655533,1.0092275009973606,1.012818600417427
dataset_small\005.jpg,1.013676029066212,1.0064762497623683,1.0102087466538805,1.0066911587772627,1.0097438873088502,2.0,1.0093597223857305,1.0050065738684875,1.0118135123974903,1.0113049124897524,1.0119269355994345,1.0114103720248349,1.009959398312906
dataset_small\006.jpg,1.0160426087444792,1.008987819045379,1.0222156651976768,1.010230349024537,1.025445219487499,1.0093597223857302,2.0,1.0041937084343344,1.0326301508587439,1.0113339876947687,1.0183671353986634,1.0125959402520879,1.0098221676425017
dataset_small\008.jpg,1.0054215313196517,1.0055794449629882,1.0038618761986118,1.0076113969484728,1.0041807124583588,1.0050065738684877,1.0041937084343342,2.0,1.0045613072548167,1.0045823192073362,1.005871488171919,1.0063428767679399,1.0040940544330017
dataset_small\011.jpg,1.032095334558818,1.024110045003779,1.0328547110158837,1.009431052577752,1.0424739168813126,1.0118135123974898,1.0326301508587437,1.0045613072548163,1.9999999999999998,1.0221733208233645,1.0305618789631386,1.013626997268552,1.0109489464898145
dataset_small\013.jpg,1.0194430501470744,1.011705159583335,1.0206551842999765,1.0052179685517175,1.0143750974630024,1.0113049124897524,1.0113339876947687,1.0045823192073362,1.0221733208233643,2.0,1.012455444028951,1.0108329150152437,1.0072919896893717
dataset_small\014.jpg,1.0171348207343693,1.009044914917542,1.0181271289145126,1.009123999484246,1.0186350465553304,1.0119269355994343,1.0183671353986636,1.005871488171919,1.0305618789631388,1.012455444028951,2.000000000000001,1.0155566115430765,1.0095279554509642
dataset_small\015.jpg,1.0097406186149667,1.0099940022732716,1.0157756734948338,1.0117548350251788,1.0092275009973606,1.011410372024835,1.0125959402520879,1.00634287676794,1.013626997268552,1.010832915015244,1.0155566115430765,1.9999999999999996,1.0113169897356369
dataset_small\016.jpg,1.0091398511955987,1.0066438834961482,1.0093354942448525,1.0076265896517465,1.012818600417427,1.0099593983129063,1.0098221676425019,1.0040940544330021,1.0109489464898145,1.0072919896893717,1.0095279554509649,1.011316989735637,2.0000000000000004
